City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Sosnovo-Ozerskoye,RU,52.52,111.54,56.75,91,71,4.27,broken clouds,0.0,0
1,Kapaa,US,22.08,-159.32,82.4,69,40,12.75,scattered clouds,0.0,0
2,Mahebourg,MU,-20.41,57.7,69.8,77,75,20.8,shower rain,0.0,0
3,Cape Town,ZA,-33.93,18.42,53.01,87,75,16.11,heavy intensity rain,2.54,0
4,Qaanaaq,GL,77.48,-69.36,46.24,56,76,3.4,broken clouds,0.0,0
5,Mazatlan,MX,23.22,-106.42,91.4,63,5,10.29,clear sky,0.0,0
6,Liverpool,GB,53.41,-2.98,59.0,67,20,16.11,few clouds,0.0,0
7,Rikitea,PF,-23.12,-134.97,67.71,65,83,18.99,broken clouds,0.0,0
8,Bredasdorp,ZA,-34.53,20.04,51.8,87,84,4.7,broken clouds,0.0,0
9,Ushuaia,AR,-54.8,-68.3,33.8,80,100,3.36,overcast clouds,0.0,0
10,Victoria,HK,22.29,114.16,84.99,82,100,14.85,overcast clouds,0.0,0
11,Mataura,NZ,-46.19,168.86,41.72,92,100,4.34,light rain,0.12,0
12,Barrow,US,71.29,-156.79,35.6,80,90,6.93,overcast clouds,0.0,0
13,Albany,US,42.6,-73.97,82.99,65,100,9.4,moderate rain,2.91,0
14,Vaini,TO,-21.2,-175.2,69.8,88,20,9.17,few clouds,0.0,0
15,Punta Arenas,CL,-53.15,-70.92,33.8,80,75,8.05,broken clouds,0.0,0
16,Busselton,AU,-33.65,115.33,41.0,78,0,12.17,clear sky,0.0,0
17,Fortuna,US,40.6,-124.16,72.0,72,20,14.99,few clouds,0.0,0
18,Dikson,RU,73.51,80.55,43.45,81,85,15.57,overcast clouds,0.0,0
19,Kununurra,AU,-15.77,128.73,62.6,39,21,3.36,few clouds,0.0,0
20,Hobart,AU,-42.88,147.33,39.99,93,100,2.24,overcast clouds,0.0,0
21,Roma,US,43.21,-75.46,89.6,40,1,13.87,clear sky,0.0,0
22,Henties Bay,NA,-22.12,14.28,60.01,87,78,2.24,broken clouds,0.0,0
23,Pilar,BR,-9.6,-35.96,80.6,69,40,10.29,scattered clouds,0.0,0
24,Coihueco,CL,-36.62,-71.83,57.2,67,40,6.93,scattered clouds,0.0,0
25,Konongo,GH,6.62,-1.22,71.42,95,100,1.79,light rain,0.23,0
26,Utica,US,43.1,-75.23,84.99,57,100,4.0,overcast clouds,0.0,0
27,Hirara,JP,24.8,125.28,84.22,82,5,9.26,clear sky,0.0,0
28,Mar Del Plata,AR,-38.0,-57.56,51.01,93,90,17.22,overcast clouds,0.0,0
29,Ojinaga,MX,29.57,-104.42,102.99,25,1,3.36,clear sky,0.0,0
30,Souillac,MU,-20.52,57.52,69.8,77,75,20.8,shower rain,0.0,0
31,Dingle,PH,11.0,122.67,77.22,85,100,2.82,overcast clouds,0.0,0
32,Aklavik,CA,68.22,-135.01,44.6,93,90,10.29,overcast clouds,0.0,0
33,Pevek,RU,69.7,170.31,44.83,94,97,6.64,overcast clouds,0.0,0
34,Vestmannaeyjar,IS,63.44,-20.27,51.17,83,91,10.76,overcast clouds,0.0,0
35,Saskylakh,RU,71.92,114.08,52.5,70,100,17.56,light rain,0.14,0
36,Prince Rupert,CA,54.32,-130.32,55.4,93,90,9.17,light rain,0.0,0
37,Provideniya,RU,64.38,-173.3,56.35,65,99,4.92,overcast clouds,0.0,0
38,Asyut,EG,27.18,31.18,89.6,33,0,9.17,clear sky,0.0,0
39,Fort Myers Beach,US,26.45,-81.95,93.2,49,1,13.87,clear sky,0.0,0
40,Pyay,MM,18.82,95.22,78.21,86,98,4.7,overcast clouds,0.0,0
41,Bengkulu,ID,-3.8,102.27,75.25,87,100,3.76,overcast clouds,0.0,0
42,Merauke,ID,-8.47,140.33,77.72,87,46,15.99,light rain,0.25,0
43,Abnub,EG,27.27,31.15,89.6,33,0,9.17,clear sky,0.0,0
44,Maebaru,JP,33.55,130.2,75.99,100,90,6.93,overcast clouds,0.0,0
45,Alofi,NU,-19.06,-169.92,71.6,88,89,17.22,overcast clouds,0.0,0
46,Mount Gambier,AU,-37.83,140.77,48.2,100,90,6.93,light rain,0.0,0
47,Lata,PT,40.16,-8.33,80.01,49,0,4.0,clear sky,0.0,0
48,Ribeira Grande,PT,38.52,-28.7,73.4,69,40,4.7,scattered clouds,0.0,0
49,Beyneu,KZ,45.32,55.2,86.4,19,0,9.42,clear sky,0.0,0
50,Nikolskoye,RU,59.7,30.79,57.2,87,40,4.47,scattered clouds,0.0,0
51,Maceio,BR,-9.67,-35.74,80.6,69,40,10.29,scattered clouds,0.0,0
52,Solano,US,38.23,-121.95,95.0,26,1,6.93,clear sky,0.0,0
53,Kaitangata,NZ,-46.28,169.85,43.0,62,36,1.99,scattered clouds,0.0,0
54,Tuatapere,NZ,-46.13,167.68,43.9,81,59,6.85,broken clouds,0.0,0
55,Gimli,CA,50.63,-96.99,78.01,80,19,7.0,few clouds,0.0,0
56,Saint-Augustin,CA,51.23,-58.65,67.91,73,43,16.82,scattered clouds,0.0,0
57,Mehamn,NO,71.04,27.85,46.4,93,75,5.82,broken clouds,0.0,0
58,Namibe,AO,-15.2,12.15,61.72,79,0,17.43,clear sky,0.0,0
59,Flinders,AU,-34.58,150.86,53.01,86,98,1.01,light rain,0.19,0
60,Cabo San Lucas,MX,22.89,-109.91,89.01,70,40,11.41,scattered clouds,0.0,0
61,Lengshuijiang,CN,27.69,111.43,76.41,93,100,2.64,light rain,0.48,0
62,Akdepe,TM,42.06,59.38,84.2,37,0,4.7,clear sky,0.0,0
63,Roura,GF,4.73,-52.33,87.8,62,98,11.41,light rain,0.27,0
64,Lebu,CL,-37.62,-73.65,50.77,66,47,5.59,scattered clouds,0.0,0
65,Bagdarin,RU,54.43,113.6,57.97,89,12,2.21,few clouds,0.0,0
66,Hermanus,ZA,-34.42,19.23,48.0,90,94,5.01,light rain,0.32,0
67,Kirchhain,DE,50.82,8.97,62.01,68,94,3.69,overcast clouds,0.0,0
68,Nyurba,RU,63.28,118.33,63.37,95,100,3.58,overcast clouds,0.0,0
69,Hofn,IS,64.25,-15.21,53.6,81,75,10.29,broken clouds,0.0,0
70,Makakilo City,US,21.35,-158.09,84.2,54,1,9.17,clear sky,0.0,0
71,Longyearbyen,SJ,78.22,15.64,46.4,75,75,9.17,shower rain,0.0,0
72,Richards Bay,ZA,-28.78,32.04,75.54,42,0,14.14,clear sky,0.0,0
73,Port Alfred,ZA,-33.59,26.89,61.0,91,53,24.45,broken clouds,0.0,0
74,Hambantota,LK,6.12,81.12,80.78,80,97,15.48,overcast clouds,0.0,0
75,Damghan,IR,36.17,54.35,77.76,45,31,3.65,scattered clouds,0.0,0
76,Gat,IL,31.61,34.76,80.01,71,0,3.62,clear sky,0.0,0
77,Bluff,NZ,-46.6,168.33,49.33,74,97,22.39,light rain,0.13,0
