City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches),Hotel Name
13,13,Albany,US,42.6,-73.97,82.99,65,100,9.4,moderate rain,2.91,0,
25,25,Konongo,GH,6.62,-1.22,71.42,95,100,1.79,light rain,0.23,0,Alice Tee Hotel
42,42,Merauke,ID,-8.47,140.33,77.72,87,46,15.99,light rain,0.25,0,
61,61,Lengshuijiang,CN,27.69,111.43,76.41,93,100,2.64,light rain,0.48,0,Sheraton
107,107,Butaritari,KI,3.07,172.79,83.1,75,100,11.39,moderate rain,2.43,0,Isles Sunset Lodge
109,109,Padang,ID,-0.95,100.35,77.54,81,70,5.3,light rain,0.33,0,Mercure Padang
110,110,Atuona,PF,-9.8,-139.03,79.57,79,96,18.97,light rain,0.12,0,Villa Enata
126,126,Kozhva,RU,65.11,57.05,67.77,91,100,10.02,light rain,0.56,0,Gostinicha IP Kayuda Olga Aleksandrovna
158,158,Lorengau,PG,-2.02,147.27,82.35,79,84,12.1,light rain,0.11,0,Lorengau Harbourside Hotel
166,166,Chaykovskiy,RU,56.77,54.11,66.99,92,98,1.99,light rain,0.13,0,Гостеприимные квартиры на Ленина 40
181,181,Saint-Philippe,RE,-21.36,55.77,69.8,64,65,19.46,light rain,0.12,0,"Chambres d'hôte ""La Trinité"""
199,199,Goderich,CA,43.75,-81.72,80.01,82,100,0.56,moderate rain,1.5,0,Harmony Inn
202,202,Saquena,PE,-4.67,-73.52,83.53,75,33,3.18,light rain,0.69,0,
205,205,Vanimo,PG,-2.67,141.3,79.3,77,100,4.74,light rain,0.31,0,Vahmoneh Lodge Vanimo
209,209,Kasugai,JP,35.25,136.97,78.01,88,100,10.16,light rain,0.79,0,Kasugai center hotel
211,211,Kribi,CM,2.95,9.92,75.85,91,100,10.94,moderate rain,3.5,0,Les Vagues bleues
241,241,Samarai,PG,-10.62,150.67,77.81,88,95,17.31,moderate rain,1.6,0,Nuli Sapi
263,263,Watsa,CD,3.04,29.54,64.38,98,94,1.61,light rain,0.39,0,Hôtel Le Pacifique
265,265,Polovinnoye,RU,54.79,65.99,69.75,89,0,2.93,light rain,0.25,0,
272,272,Westport,US,41.14,-73.36,73.99,94,90,20.8,light rain,0.38,0,The Westport Inn
276,276,Synya,RU,65.37,58.04,66.76,94,64,6.13,moderate rain,2.15,0,
290,290,Harrison,US,30.41,-89.04,86.0,88,90,3.36,heavy intensity rain,4.32,0,Residence Inn by Marriott Gulfport-Biloxi Airport
299,299,Mangrol,IN,21.12,70.12,84.04,83,94,18.79,light rain,0.12,0,Hotel The Royal Honours
306,306,Dhidhdhoo,MV,6.88,73.1,83.21,74,100,8.57,moderate rain,1.08,0,Dhidhoo beach
333,333,Bambanglipuro,ID,-7.95,110.28,75.54,89,100,3.8,light rain,0.13,0,Puri Brata
352,352,New Amsterdam,GY,6.25,-57.52,81.64,87,97,3.87,light rain,0.74,0,Little Rock Suites
354,354,Sorong,ID,-0.88,131.25,76.86,90,23,7.05,light rain,0.16,0,The Waigo Hotel
357,357,Point Pedro,LK,9.82,80.23,81.39,84,100,13.56,light rain,0.34,0,Gtr homes
366,366,Kieta,PG,-6.22,155.63,78.78,77,91,5.48,light rain,0.39,0,
370,370,Unity,CA,52.45,-109.17,68.0,76,100,4.0,light rain,0.55,0,Greenhead Motel & RV Park
388,388,Acajutla,SV,13.59,-89.83,69.01,100,99,1.01,light rain,0.85,0,Stop.
392,392,Bubaque,GW,11.28,-15.83,81.43,81,100,17.83,moderate rain,2.16,0,Casa Dora
394,394,Yook,PH,13.23,121.96,81.75,74,100,3.02,light rain,0.11,0,"Bellaroca Island, Buenavista, Marinduque"
401,401,Shingu,JP,33.73,135.98,74.26,94,53,5.75,light rain,0.22,0,Shingu UI Hotel
414,414,Champawat,IN,29.33,80.1,64.06,100,71,1.72,light rain,0.67,0,Hotel Tejmaan
421,421,Dwarka,IN,22.24,68.97,84.72,83,14,21.47,light rain,0.19,0,Hotel Narayan Avezika Comfort
430,430,Grand-Santi,GF,4.25,-54.38,86.0,68,4,3.04,light rain,0.15,0,Hotel La Villa Couacou
479,479,Mogadishu,SO,2.04,45.34,78.46,82,92,17.34,light rain,0.14,0,Hotel Juba
487,487,Jishou,CN,28.32,109.72,75.69,93,100,3.89,light rain,0.95,0,7Days Inn Jishou Railway Station
489,489,Jaltenango,MX,15.87,-92.72,79.07,75,89,2.1,moderate rain,1.66,0,Hotel el Triunfo
490,490,Pingshan,CN,22.99,114.71,79.74,90,100,5.77,light rain,0.12,0,Island Skylight Resort
503,503,Tarakan,ID,3.3,117.63,79.23,81,100,2.13,moderate rain,1.93,0,Hotel D' CaLia Tarakan
512,512,Makokou,GA,0.57,12.86,72.03,93,100,3.76,moderate rain,3.27,0,WAMY RESIDENCE HOTEL
515,515,Caramay,PH,10.18,119.24,79.59,79,100,3.76,light rain,0.22,0,Peace and Love Beach Club
516,516,Bara,NG,10.37,10.73,73.98,84,67,6.26,light rain,0.12,0,
523,523,Vuktyl,RU,63.86,57.31,66.47,88,100,4.81,light rain,0.2,0,Mini-Hotel Lokomotiv
